C_Occasion,C_Fresh_Taste,C_Intense,C_Smooth,C_Acidic,C_Aroma,C_Alert,C_Origin,C_Portable,C_Value,C_Nutrition,C_Brand_Trust,C_Premium_Look,T_Occasion,T_Aroma,T_Intense,T_No_Sugar,T_Zero_Cal,T_Nutrition,T_Origin,T_Brew_Method,T_Portable,T_Brand_Trust,T_Premium_Look
ไม่ดื่มกาแฟ Ready to drink เลย,3,3,3,3,3,3,3,3,3,3,3,3,ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม,3,3,4,3,3,3,3,4,3,3
ไม่ดื่มกาแฟ Ready to drink เลย,5,3,5,3,3,3,3,3,3,3,3,3,ดื่มให้ตื่นตัวในตอนเช้า,4,4,5,5,4,4,3,5,3,5
ดื่มให้ไม่ง่วงในวันที่ทำงานดึก,1,1,5,1,2,5,1,2,2,2,1,1,ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า,4,2,1,1,1,1,1,3,1,3
ไม่ดื่มกาแฟ Ready to drink เลย,5,5,5,1,5,3,2,3,1,3,4,4,ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า,5,5,5,5,3,2,2,3,3,4
ดื่มให้ไม่ง่วงในวันที่ทำงานดึก,4,4,5,2,4,4,4,5,4,5,5,5,"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน",4,4,3,3,3,4,3,4,5,4
ไม่ดื่มกาแฟ Ready to drink เลย,1,1,1,1,1,1,1,1,1,1,1,1,ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม,5,5,5,1,5,3,3,3,3,3
ไม่ดื่มกาแฟในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0,0,0,"ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, เพราะอร่อย หวาน เหมือนกินน้ำหวาน",4,3,3,3,1,1,1,3,3,3
ไม่ดื่มกาแฟในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0,0,0,ดื่มระหว่างเดินทาง/ขับรถ,5,4,2,2,1,3,3,3,1,1
ไม่ดื่มกาแฟในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0,0,0,"ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล",5,4,4,3,4,4,4,4,5,5
ไม่ดื่มกาแฟ Ready to drink เลย,5,3,5,4,5,5,1,1,5,5,1,1,ไม่ดื่มชาในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0
