Profession_ข้าราชการ,Profession_ธุรกิจส่วนตัว,Profession_นักศึกษา,Profession_นักเรียน,Profession_พนักงานบริษัทเอกชน,Profession_พนักงานมหาวิทยาลัย,Profession_พนักงานรัฐวิสาหกิจ,Profession_ฟรีแลนซ์/อาชีพอิสระ,Profession_ว่างงาน,Profession_แพทย์,Profession_แม่ค้า,Profession_ไลฟ์สด,Sex_ชาย,Sex_หญิง,Sex_ไม่ระบุ,Province_กรุงเทพมหานคร,Province_ขอนแก่น,Province_ฉะเชิงเทรา,Province_ชลบุรี,Province_นครปฐม,Province_นครราชสีมา,Province_นครศรีธรรมราช,Province_นนทบุรี,Province_ปทุมธานี,Province_ภูเก็ต,Province_ร้อยเอ็ด,Province_ลพบุรี,Province_ลำพูน,Province_สงขลา,Province_สมุทรปราการ,Province_สมุทรสาคร,Province_อุบลราชธานี,Province_เชียงใหม่,Province_แพร่,S_Occasion_Facebook,S_Occasion_Instagram,S_Occasion_LINE,S_Occasion_TikTok,S_Occasion_Twitter,S_Occasion_YouTube,S_Usage(festival)_ใช้น้อยกว่าปกติ,S_Usage(festival)_ใช้มากกว่าปกติ,S_Usage(festival)_ใช้เท่าเดิม,S_Usage(festival)_ไม่ใช้โซเชียลมีเดียเลย,C_Frequency_กาแฟผงสำเร็จรูป,C_Frequency_กาแฟผงสำเร็จรูปพร้อมดื่ม (3-in-1),C_Frequency_กาแฟพร้อมดื่ม (Ready to drink),C_Frequency_กาแฟสดคั่วบด เช่น ร้านกาแฟสด,C_Frequency_แคปซูลกาแฟ,C_Frequency_ไม่ดื่มกาแฟประเภทใดเลย,C_Favorite_กาแฟผงสำเร็จรูป,C_Favorite_กาแฟผงสำเร็จรูปพร้อมดื่ม (3-in-1),C_Favorite_กาแฟพร้อมดื่ม (Ready to drink),C_Favorite_กาแฟสดคั่วบด,C_Favorite_แคปซูลกาแฟ,C_Favorite_ไม่ดื่มกาแฟ,C_BestBrand_Arabic,C_BestBrand_Best,C_BestBrand_Binary,C_BestBrand_High Coffee,C_BestBrand_Kokiko,C_BestBrand_Newcafe,C_BestBrand_SCC,C_BestBrand_กาแฟเน้จอร์กีฟ,C_BestBrand_ไม่ดื่มกาแฟ Ready to Drink เลย,C_BestBrand_ไม่ดื่มกาแฟ Ready to drink เลย,C_BestBrand_ไม่มี,"T_Frequency_ชงเอง เช่น ผงชา, ใบชา, ถุงชา","T_Frequency_ชาขวดพร้อมดื่ม เช่น Tea P+, Orishi",T_Frequency_ชาจีนอู่หลง-หลงจิ่ง-อู่อี๋เหยียน-ปี้หลัวชุน,T_Frequency_ชาตามร้อนตามร้าน,T_Frequency_ชาแก้วขายตามร้าน เช่น Kamu,T_Frequency_ไม่ดื่มชา,"T_Favorite_ชงเอง เช่น ผงชา, ใบชา, ถุงชา","T_Favorite_ชาขวดพร้อมดื่ม เช่น Tea P+, Orishi",T_Favorite_ชาร้อนตามร้าน,T_Favorite_ชาแก้วขายตามร้าน เช่น Kamu,T_Favorite_ไม่ดื่มชา,Cluster_ID_Outlier,Cluster_ID_ชอบกาแฟ,Cluster_ID_ชอบชา,Cluster_ID_ชอบทั้งกาแฟและชา,Age,S_Frequency,S_Screentime,S_Time(weekday)_05.00-8.59น.,S_Time(weekday)_18.00-21.59น.,S_Time(weekday)_22.01-4.59น.,S_Time(weekday)_9.00-17.59น.,S_Time(weekend)_05.00-8.59น.,S_Time(weekend)_18.00-21.59น.,S_Time(weekend)_22.01-4.59น.,S_Time(weekend)_9.00-17.59น.,T_Channel_Makro,T_Channel_ซื้อจากช่องทางออนไลน์​ เช่น Shopee,T_Channel_ซื้อจากซุปเปอร์มาเก็ต เช่น Tops,T_Channel_ซื้อจากร้านสะดวกซื้อ เช่น 7-11,T_Channel_ซื้อจากร้านโชว์ห่วย/ร้านชำ,T_Channel_ซื้อจากเพจของแบรนด์นั้นๆ,T_Channel_ไม่ซื้อชา ready to drink,C_Occasion_ดื่มก่อนไปปาร์ตี้กับเพื่อน,C_Occasion_ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้,C_Occasion_ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์,C_Occasion_ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม,C_Occasion_ดื่มระหว่างเดินทาง/ขับรถ,C_Occasion_ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน,C_Occasion_ดื่มให้ตื่นตัวในตอนเช้า,C_Occasion_ดื่มให้ไม่ง่วงในคืนอ่านหนังสือสอบ,C_Occasion_ดื่มให้ไม่ง่วงในวันที่ทำงานดึก,C_Occasion_ดูบอล,C_Occasion_เมื่อมีมาแจกให้ทดลองดื่ม,C_Occasion_เล่นเกม,C_Occasion_ไม่ดื่มกาแฟ,C_Occasion_ไม่ดื่มกาแฟ Ready to drink เลย,T_Occasion_ก็ดื่มได้ตลอดไม่ได้ขึ้นอยู่กับทำอะไรถ้ามีขายก็ซื้อดื่ม,T_Occasion_ดื่มก่อนออกกำลังกาย,T_Occasion_ดื่มก่อนไปปาร์ตี้กับเพื่อน,T_Occasion_ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์,T_Occasion_ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม,T_Occasion_ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า,T_Occasion_ดื่มระหว่างเดินทาง/ขับรถ,T_Occasion_ดื่มหลังมื้ออาหารที่เป็นอาหารทอด น้ำมันเยอะๆ,T_Occasion_ดื่มหลังออกกำลังกาย,T_Occasion_ดื่มเมื่ออยาก,T_Occasion_ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน,T_Occasion_ดื่มให้ตื่นตัวในตอนเช้า,T_Occasion_ดื่มให้ไม่ง่วงในคืนอ่านหนังสือสอบ,T_Occasion_ดื่มให้ไม่ง่วงในวันที่ทำงานดึก,T_Occasion_ดูบอล,T_Occasion_ฟังเพลง,T_Occasion_เพราะอร่อย หวาน เหมือนกินน้ำหวาน,T_Occasion_ไม่ดื่มชา,T_Occasion_ไม่ดื่มชาเขียวพร้อมดื่ม (Ready to drink) เลย,T_Trial_ลองถ้ามีสินค้ามาแจก (Product Sampling),T_Trial_ลองถ้าเห็นคนรีวิวเยอะ,T_Trial_ลองถ้าเห็นโฆษณาน่าสนใจ,T_Trial_ลองเมื่อมีโปรโมชั่น ณ​ จุดขาย,T_Trial_ลองเลย ชอบลองของออกใหม่อยู่แล้ว,T_Trial_ไม่ลอง
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,2,2,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,3,3,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,3,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2,3,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,3,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,3,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2,3,3,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,3,3,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,2,2,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
